,PPO_1_consumption,PPO_1_labor,PPO_1_savings
0,,,0.0
1,0.42911258,1.0,0.5708874464035034
2,0.47704762,1.0,1.0996062755584717
3,0.4639638,0.0,0.6467496752738953
4,0.53244054,0.0,0.12084194272756577
5,0.4289125,1.0,0.6931501030921936
6,0.49111634,0.0,0.2090352475643158
7,0.4294425,1.0,0.7817042469978333
8,0.47203478,0.0,0.3175654411315918
9,0.43344462,1.0,0.887328565120697
10,0.46898443,0.0,0.42730703949928284
11,0.44082007,1.0,0.9908031821250916
12,0.46632236,0.0,0.5344889760017395
13,0.46544534,1.0,1.0744425058364868
14,0.464469,0.0,0.6208264827728271
15,0.50924474,1.0,1.1178526878356934
16,0.4636115,0.0,0.665532648563385
17,0.5218449,0.0,0.1504102647304535
18,0.4289549,1.0,0.7229746580123901
19,0.47703114,0.0,0.2532462775707245
20,0.43044773,1.0,0.8253566026687622
21,0.47071558,0.0,0.3629779517650604
22,0.43656948,1.0,0.93007493019104
23,0.46784014,0.0,0.47162947058677673
24,0.44495016,1.0,1.0314432382583618
25,0.46538737,0.0,0.5764744877815247
26,0.47874957,1.0,1.1035479307174683
27,0.46388674,0.0,0.6508080959320068
28,0.5323895,0.0,0.12499240040779114
29,0.42891347,1.0,0.6973415017127991
30,0.4879244,0.0,0.2164609283208847
31,0.42956343,1.0,0.7890839576721191
32,0.47179043,0.0,0.3252640962600708
33,0.4339325,1.0,0.8946170806884766
34,0.46878567,0.0,0.4348679482936859
35,0.44129485,1.0,0.9979656934738159
36,0.46615282,0.0,0.5418933629989624
37,0.46818644,1.0,1.0791805982589722
38,0.46437207,0.0,0.6257092952728271
39,0.51505846,1.0,1.1169711351394653
40,0.4636283,0.0,0.6646254062652588
41,0.5228451,0.0,0.148493692278862
42,0.42894933,1.0,0.7210443019866943
43,0.4774819,0.0,0.25084567070007324
44,0.43037364,1.0,0.8230058550834656
45,0.4707826,0.0,0.3605364263057709
46,0.4363925,1.0,0.9277856945991516
47,0.46789995,0.0,0.46925732493400574
48,0.44458315,1.0,1.029414176940918
49,0.4654325,0.0,0.5743798017501831
50,0.47809437,1.0,1.1020872592926025
51,0.46391526,0.0,0.6493041515350342
52,0.5325714,0.0,0.12329142540693283
53,0.4289129,1.0,0.6956238746643066
54,0.48917216,0.0,0.213478222489357
55,0.42951286,1.0,0.7861217260360718
56,0.4718865,0.0,0.32217586040496826
57,0.43373397,1.0,0.8916962146759033
58,0.46886522,0.0,0.4318380057811737
59,0.44110113,1.0,0.995098888874054
60,0.46622047,0.0,0.5389298796653748
61,0.46711725,1.0,1.077256441116333
62,0.46441135,0.0,0.6237264275550842
63,0.5126872,1.0,1.1173394918441772
64,0.46362126,0.0,0.6650044918060303
65,0.52243084,0.0,0.14929085969924927
66,0.4289516,1.0,0.7218472361564636
67,0.47728944,0.0,0.2518492043018341
68,0.43040434,1.0,0.8239887952804565
69,0.47075456,0.0,0.36155736446380615
70,0.43646654,1.0,0.9287428855895996
71,0.46787494,0.0,0.470249205827713
72,0.44473335,1.0,1.0302658081054688
73,0.46541354,0.0,0.5752590298652649
74,0.4783664,1.0,1.102703332901001
75,0.4639032,0.0,0.6499385237693787
76,0.5325181,0.0,0.12398549914360046
77,0.4289131,1.0,0.6963247656822205
78,0.48865303,0.0,0.21470533311367035
79,0.42953333,1.0,0.7873407602310181
80,0.47184664,0.0,0.323447048664093
81,0.43381524,1.0,0.8928989171981812
82,0.46883243,0.0,0.43308568000793457
83,0.44118017,1.0,0.9962801337242126
84,0.46619254,0.0,0.5401510000228882
85,0.4675625,1.0,1.0780445337295532
86,0.46439525,0.0,0.6245386600494385
87,0.5136588,1.0,1.1171883344650269
88,0.46362415,0.0,0.6648489236831665
89,0.5226015,0.0,0.148963063955307
90,0.4289506,1.0,0.7215171456336975
91,0.4773677,0.0,0.2514374852180481
92,0.4303917,1.0,0.823585569858551
93,0.47076604,0.0,0.36113858222961426
94,0.4364362,1.0,0.9283502101898193
95,0.4678852,0.0,0.4698423147201538
96,0.44467118,1.0,1.0299170017242432
97,0.46542132,0.0,0.574898898601532
98,0.4782545,1.0,1.1024514436721802
99,0.4639081,0.0,0.6496792435646057
100,0.53254396,0.0,0.12369767802108311
